Date,Inbound_Orders,Outbound_Orders,Avg_Scan_Time_s,Inventory_Level
2024-07-01,60,53,28.57,507
2024-07-02,54,73,20.56,488
2024-07-03,57,45,5.33,500
2024-07-04,52,29,13.52,523
2024-07-05,40,60,17.71,503
2024-07-06,30,54,16.77,479
2024-07-07,38,31,28.34,486
2024-07-08,38,36,11.69,488
2024-07-09,36,44,11.34,480
2024-07-10,34,50,6.49,464
2024-07-11,80,34,10.88,510
2024-07-12,56,34,27.01,532
2024-07-13,54,48,20.12,538
2024-07-14,50,31,12.86,557
2024-07-15,63,52,12.73,568
2024-07-16,63,44,10.54,587
2024-07-17,29,32,9.36,584
2024-07-18,46,9,20.21,621
2024-07-19,60,49,8.42,632
2024-07-20,40,74,21.91,598
2024-07-21,48,44,9.02,602
2024-07-22,56,33,19.45,625
2024-07-23,61,54,17.74,632
2024-07-24,62,63,12.32,631
2024-07-25,69,56,5.02,644
2024-07-26,45,54,7.63,635
2024-07-27,38,50,5.28,623
2024-07-28,63,36,19.52,650
2024-07-29,49,25,26.42,674
2024-07-30,32,66,16.3,640
2024-07-31,52,41,21.6,651
